CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51550,550,us-va-550,Chesapeake City,254997,32.64,2682.43873,24251749.3,14510098.66,2509410.485,41271258.44,161.8499764,636073.7103,4670513.075,333024.6792,16973369.32,22612980.78,88.67939929,4686054.559,18.37690074,7818833.15,3407345.533,11226178.68,44.02474807,79796472.47,312.9310246,36190829.84,29371050.17,14234592.45,37.9,95373,8.2,28.3,8.1,Chesapeake,Eastern,Hampton Roads Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
51540,540,us-va-540,Charlottesville City,44767,4.08,352.9524645,2164209.476,1363022.372,77261.65244,3604493.501,80.51675343,102663.9762,753833.1412,53751.06247,2380399.609,3290647.789,73.50610469,202093.9972,4.514352026,1721634.962,448334.9385,2169969.901,48.47253336,9267205.188,207.0097435,3511421.009,4107992.364,1647791.814,33.1,74824,22.6,29.2,6,Blue Ridge,Northwestern,Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51530,530,us-va-530,Buena Vista City,6581,0,70.5904929,0,260845.213,87790.49582,348635.7088,52.97609919,14999.39979,110136.4381,7853.131204,249612.5138,382601.4828,58.13728656,239986.6216,36.46658891,6215.288673,89666.9877,95882.27638,14.56956031,1067106.09,162.149535,364942.458,354787.5319,347376.0997,35.9,57833,17.1,19.2,5.9,Central Shenandoah,Northwestern,Valley Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51520,520,us-va-520,Bristol City,16316,2.04,211.7714787,1056696.379,798610.7562,1226022.043,3081329.178,188.8532225,27294.07414,200412.8265,14290.16816,995930.5686,1237927.637,75.87200524,3284027.454,201.2765049,2206427.479,269000.9631,2475428.442,151.7178501,10078712.71,617.7195827,2696804.114,3753258.847,3628649.751,43.4,50404,21.4,23.7,17.6,Mount Rogers,Southwestern,Southwest Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan
51510,510,us-va-510,Alexandria City,159102,10.2,988.2669006,7361087.871,5192347.075,893481.608,13446916.55,84.5175834,280081.8395,2056563.37,146640.4966,6334754.031,8818039.737,55.42381452,1717798.976,10.79684087,4795095.211,1255337.828,6050433.039,38.02864225,30033188.31,188.766881,12197355.3,12210971.81,5624861.199,37.7,119681,7,19.9,11,Alexandria,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51199,199,us-va-199,York County,71410,6.12,564.7239432,4388107.671,2947879.241,502598.8111,7838585.723,109.76874,86380.38041,634267.2077,45225.57372,2935441.829,3701314.99,51.83188616,972577.3613,13.61962416,2638390.042,717335.9016,3355725.943,46.99238122,15868204.02,222.2126315,6720081.557,6178890.046,2969232.416,39.9,109956,5.8,23.3,4.8,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51197,197,us-va-197,Wythe County,28100,4.08,635.3144361,2305686.996,2613825.226,421850.8397,5341363.062,190.0840947,125644.1897,922570.484,65782.65269,3004333.677,4118331.004,146.5598222,1035731.735,36.85878062,1358040.575,807002.8893,2165043.464,77.04781012,12660469.27,450.5505077,5023335.158,4879364.104,2757770.003,46,57745,14.6,20.5,8.5,Mount Rogers,Southwestern,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51195,195,us-va-195,Wise County,34973,5.1,564.7239432,1973466.571,1590902.022,200788.7298,3765157.323,107.6589747,185703.8998,1363572.3,97227.69649,3727222.162,5373726.058,153.653563,719959.8649,20.58616261,1861478.957,717335.9016,2578814.859,73.73730761,12437658.1,355.6360079,4210540.185,5560675.344,2666442.575,41.8,52943,16.6,15.2,10.6,Lenowisco,Southwestern,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51193,193,us-va-193,Westmoreland County,19235,3.06,211.7714787,1631874.603,822205.6567,87386.17711,2541466.437,132.1271867,34028.63471,249862.8394,17816.1351,1277171.621,1578879.23,82.08366157,227355.7468,11.81989846,770695.7954,269000.9631,1039696.759,54.05233993,5387398.172,280.0830867,2277539.699,2139231.719,970626.7539,47.7,63398,14,19,12.6,Three Rivers,Eastern,Eastern Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51191,191,us-va-191,Washington County,54098,3.06,494.1334503,1564195.315,1838914.101,912074.8998,4315184.315,79.76606003,90497.35369,664497.0022,47381.06873,2239918.938,3042294.362,56.23672525,2475651.465,45.76234732,2855925.145,627668.9139,3483594.059,64.39413766,13316724.2,246.1592702,4048883.122,5460539.125,3807301.955,46.9,64552,11.2,11.9,10.3,Mount Rogers,Southwestern,Southwest Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan
51187,187,us-va-187,Warren County,42461,7.14,635.3144361,4889339.603,3167293.794,1184432.924,9241066.321,217.6365682,75910.03127,557386.3341,39743.686,3140474.742,3813514.794,89.81217573,2399866.216,56.51930516,2100767.571,807002.8893,2907770.461,68.48096985,18362217.79,432.4490189,7818485.233,6402777.309,4140955.25,40.5,84682,11.1,13.1,12.2,Lord Fairfax,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
